score,budget_x,country
71.0,110000000.0,ES
75.0,80000000.0,AU
66.0,124000000.0,US
80.0,120000000.0,US
76.0,3000000.0,AU
69.0,8400000.0,RU
71.0,14000000.0,AU
67.0,160200000.0,KR
52.0,111940000.0,CN
69.0,150000000.0,AU
81.0,16000000.0,AU
70.0,120000000.0,IT
72.0,33111535.2,JP
66.0,35000.0,US
60.0,84600000.0,US
67.0,220000000.0,AU
65.0,17000000.0,AU
100.0,201000000.0,AR
69.0,101400000.0,AR
68.0,109000000.0,AU
72.0,24685792.0,AU
49.0,167400000.0,FR
75.0,61000000.0,AU
63.0,37000000.0,AU
63.0,20000000.0,AU
73.0,71460000.0,CN
74.0,175000000.0,AU
84.0,24000000.0,AU
68.0,190000000.0,AU
70.0,150000000.0,AU
60.0,78000000.0,AU
78.0,129000000.0,AU
65.0,95200000.0,AU
64.0,1000000.0,AU
69.0,190000000.0,AU
82.0,21911000.0,AU
72.0,14000000.0,AU
72.0,650000.0,AU
73.0,35000000.0,AU
71.0,116000000.0,AU
73.0,85000000.0,US
60.0,114200000.0,AR
58.0,165000000.0,AU
75.0,100000000.0,AU
69.0,89000000.0,US
71.0,260000000.0,AU
71.0,79300000.0,AU
75.0,200000000.0,AU
59.0,22000000.0,AU
50.0,20000000.0,US
59.0,70520000.0,US
70.0,105740523.8,KR
71.0,15000000.0,US
64.0,98600000.0,AU
70.0,147200000.0,US
72.0,190000000.0,AU
73.0,40000000.0,AU
66.0,99400000.0,FR
73.0,25100000.0,JP
84.0,160000000.0,AU
72.0,150000000.0,AU
63.0,83400000.0,US
69.0,56400000.0,US
70.0,15000000.0,AU
72.0,60000000.0,AU
50.0,8500000.0,US
69.0,79000000.0,AU
67.0,10000000.0,AU
70.0,95000000.0,AU
70.0,2900000.0,AU
84.0,93000000.0,AU
57.0,92000000.0,US
68.0,49000000.0,US
62.0,119700000.0,KR
74.0,200000000.0,AU
61.0,129000000.0,AU
55.0,158000000.0,US
77.0,138100000.0,US
78.0,94000000.0,AU
57.0,95000000.0,AU
57.0,15000000.0,AU
71.0,78300000.0,MX
61.0,80000000.0,AU
60.0,73800000.0,JP
68.0,150000000.0,AU
79.0,148000000.0,US
74.0,250000000.0,AU
43.0,102300000.0,GB
74.0,165000000.0,AU
59.0,210000000.0,AU
62.0,38200000.0,KR
67.0,116000000.0,JP
68.0,79000000.0,US
76.0,125000000.0,AU
70.0,59500000.0,AU
71.0,9330400.0,AU
71.0,105000000.0,AU
78.0,165000000.0,AU
78.0,45000000.0,AU
79.0,118400000.0,US
79.0,175000000.0,AU
66.0,230000000.0,AU
65.0,200000000.0,AU
67.0,90000000.0,AU
73.0,104400000.0,MX
37.0,58670000.0,US
76.0,90000000.0,AU
54.0,138800000.0,US
83.0,86203077.0,AU
73.0,123600000.0,AU
64.0,75000000.0,AU
81.0,25000000.0,AU
62.0,68000000.0,AU
63.0,20000000.0,AU
77.0,1300000.0,PL
60.0,111000000.0,JP
65.0,43967862.6,AU
58.0,8101468.0,US
73.0,18000000.0,US
75.0,110000000.0,AU
62.0,110000000.0,AU
66.0,105800000.0,AU
58.0,61498000.0,US
61.0,20000000.0,US
65.0,100000000.0,AU
79.0,121600000.0,AU
71.0,118000000.0,KR
68.0,115500000.0,US
72.0,26548000.0,CN
85.0,19000000.0,AU
67.0,123400000.0,US
34.0,54640000.0,GB
63.0,106400000.0,FR
67.0,60000000.0,AU
63.0,68000000.0,AU
58.0,54200000.0,US
50.0,138600000.0,AR
66.0,76400000.0,BR
77.0,12000000.0,AU
72.0,30314000.0,JP
69.0,152000000.0,AU
0.0,226000000.0,US
78.0,99600000.0,ES
74.0,130000000.0,AU
69.0,68000000.0,AU
72.0,150000000.0,AU
70.0,100140523.8,CZ
68.0,45000000.0,AU
76.0,94000000.0,AU
71.0,26012400.0,KR
63.0,29000000.0,AU
85.0,94000000.0,AU
65.0,150000000.0,AU
62.0,9100000.0,AU
79.0,12000000.0,AU
77.0,5000000.0,AU
82.0,150000000.0,AU
57.0,59400000.0,FR
61.0,79000000.0,AU
59.0,135159000.0,ES
65.0,120000000.0,AU
20.0,12001040.0,PH
53.0,13000000.0,US
69.0,160000000.0,AU
63.0,19000000.0,AU
85.0,185000000.0,AU
74.0,13000000.0,AU
75.0,200000000.0,AU
75.0,60000000.0,AU
74.0,17622000.0,AU
69.0,200000000.0,AU
65.0,125000000.0,AU
78.0,200000000.0,AU
85.0,60000000.0,AU
70.0,157000000.0,US
69.0,200000000.0,AU
69.0,90000000.0,AU
56.0,77200000.0,ZA
65.0,55000000.0,AU
76.0,200000000.0,AU
70.0,130000000.0,AU
82.0,55000000.0,AU
72.0,24457676.0,KR
62.0,95000000.0,AU
70.0,75000000.0,AU
46.0,94000000.0,US
61.0,62000000.0,AU
81.0,7000000.0,AU
72.0,130000000.0,AU
55.0,4000000.0,CA
49.0,158800000.0,DE
64.0,49500000.0,AU
76.0,200000.0,AU
56.0,3000000.0,US
75.0,40000000.0,AU
58.0,95000000.0,HK
60.0,128000000.0,US
66.0,39677129.0,AU
59.0,121000000.0,NL
68.0,116000000.0,AU
68.0,25000000.0,AU
80.0,52000000.0,AU
84.0,94000000.0,AU
38.0,64500000.0,ES
74.0,85000000.0,ES
74.0,6993600.0,AU
57.0,134600000.0,US
65.0,178000000.0,AU
74.0,250000000.0,AU
73.0,65000000.0,AU
73.0,53600000.0,US
72.0,170000000.0,AU
70.0,185000000.0,AU
70.0,200000000.0,AU
76.0,186000000.0,AU
71.0,1488000.0,AU
57.0,9000000.0,AU
59.0,125000000.0,AU
59.0,13500000.0,AU
70.0,146400000.0,US
73.0,200000000.0,AU
63.0,3500000.0,US
75.0,160000000.0,AU
81.0,77600000.0,US
80.0,2500000.0,AU
65.0,80000000.0,AU
62.0,73600000.0,AU
66.0,75000000.0,US
58.0,200000000.0,AU
69.0,20000000.0,AU
69.0,175200000.0,AU
68.0,20950000.0,AU
82.0,11000000.0,AU
65.0,24000000.0,US
74.0,58000000.0,AU
57.0,124600000.0,US
63.0,88200000.0,ES
71.0,18000000.0,AU
48.0,20000000.0,AU
66.0,15000000.0,AU
73.0,85000000.0,AU
73.0,170000000.0,AU
82.0,25000000.0,AU
78.0,8500000.0,AU
64.0,40000000.0,AU
87.0,25000000.0,AU
77.0,160000000.0,AU
77.0,20000000.0,AU
59.0,155000000.0,AU
